name,online_order,book_table,rate,votes,approx_cost(for two people),listed_in(type),listed_in(city),cuisines
Jagdish Farshan,Yes,Yes,4.1/5,775,800,Buffet,Banashankari,"Chinese, North Indian, Thai"
The Spice,Yes,No,4.1/5,787,800,Buffet,Banashankari,"Cafe, Mexican, Italian"
Blue Lagoon,Yes,No,3.8/5,918,800,Buffet,Banashankari,"South Indian, North Indian"
 Udupi Bhojana,No,No,3.7/5,88,300,Buffet,Banashankari,"North Indian, Rajasthani"
Ghee God,No,No,3.8/5,166,600,Buffet,Banashankari,North Indian
Tandoori Restaurant,Yes,No,3.8/5,286,600,Buffet,Banashankari,"North Indian, South Indian, Andhra, Chinese"
Orchid wood International Hotel - ,No,No,3.6/5,8,800,Buffet,Banashankari,"Pizza, Cafe, Italian"
Jagdish Farshan,Yes,Yes,4.6/5,2556,600,other,Banashankari,"Cafe, Italian, Continental"
Appetito Cafe,Yes,No,4.0/5,324,700,other,, we had nachos cheese salsa which was okay. We ordered some garlic bread with cheese. A complete disappointment as it just had some processed cheese and the bread was dipped in ghee.\nWe ordered some chicken Alfredo hoping it would be better but to our disappointment
Salimar Hotel,Yes,No,4.2/5,504,550,Cafes," it was little difficult to converse. Overall not a bad experience."""")]""","Cafe, Mexican, Italian, Momos, Beverages"
Rajwadi CafÃ©,Yes,No,4.1/5,402,500,Cafes,Banashankari,Cafe
Cafe Mumbaiya,Yes,Yes,4.2/5,150,600,Cafes,Banashankari,"Cafe, Italian, Continental"
The Café,Yes,Yes,4.2/5,164,500,Cafes,Banashankari,"Cafe, Chinese, Continental, Italian"
Evrest Café,No,No,4.0/5,424,450,Cafes,Banashankari,"Cafe, Continental"
The Morning Cafe,Yes,No,3.8/5,918,800,Cafes,Banashankari,"Cafe, Mexican, Italian"
Vivanta Café,Yes,No,3.8/5,90,650,Cafes,Banashankari,Cafe
Bun Chai Café,Yes,No,3.9/5,133,800,Cafes,Banashankari,"Cafe, Fast Food, Continental, Chinese, Momos"
Bombay 's Biryani,Yes,No,3.8/5,144,700,Cafes,Banashankari,"Chinese, Cafe, Italian"
Zero Cafe,No,No,3.9/5,93,300,Cafes,Banashankari,"Cafe, Italian, American"
Atoms Restaurant And Cafe,Yes,No,3.1/5,13,400,Cafes,Banashankari,"Cafe, Chinese, Continental, Italian"
The Madras Cafe,Yes,No,3.0/5,62,400,Cafes,Banashankari,"Cafe, French, North Indian"
Woodee Pizza,Yes,No,3.7/5,180,500,Cafes,Banashankari,"Cafe, Pizza, Fast Food, Beverages"
Cafe Coffee Day,No,No,3.6/5,28,900,Cafes,Banashankari,"Cafe, Fast Food"
Your's Tea House,Yes,No,3.6/5,62,600,Cafes,Banashankari,"Italian, Fast Food, Cafe, European"
Hide Out Cafe,No,No,3.7/5,31,300,Cafes,Banashankari,Cafe
CAFE NOVA,No,No,3.2/5,11,600,Cafes,Banashankari,"Cafe, Bakery"
Coffee Tindi,Yes,No,3.8/5,75,200,Cafes,Banashankari,"Cafe, South Indian"
Sea Green Cafe,No,No,3.3/5,4,500,Cafes,Banashankari,"Cafe, Fast Food, Beverages"
Cuppa,No,No,3.3/5,23,550,Cafes,Banashankari,"Cafe, Fast Food"
Srinathji's Cafe,No,No,3.8/5,148,550,Cafes,Banashankari,"North Indian, Cafe, Chinese, Fast Food"
Redberrys,Yes,No,4.0/5,219,600,Cafes,Banashankari,"Cafe, Italian"
Foodiction,Yes,No,2.8/5,506,500,other,Banashankari,"North Indian, Fast Food, Chinese, Burger"
Sweet Truth,Yes,No,3.9/5,35,500,Dining,, ('Rated 3.0'
Ovenstory Pizza,Yes,No,3.9/5,172,750,Dining, ('Rated 1.0',"Bakery, Desserts"
Faasos,Yes,No,4.2/5,415,500,other,Banashankari,Pizza
Behrouz Biryani,Yes,No,3.9/5,230,650,Dining,Banashankari,"North Indian, Biryani, Fast Food"
Fast And Fresh,Yes,No,2.8/5,91,400,Dining,, 'RATED\n  Faasos is a perfect place to order some lip smacking fast food.\nI ordered Paneer steak 
Szechuan Dragon,Yes,No,4.2/5,1647,600,Dining, 'RATED\n  FAASOS\n\nJumbo Chicken Wrap\n\nBhuna Chicken & Chicken Tikka Wrap\n\nJumbo Chicken Wrap:- The perfect taste of bhuna ( spicy ) chicken with the combination of mayo sauce,Biryani
Empire Restaurant,Yes,No,4.4/5,4884,750,other,Banashankari,"North Indian, Chinese, Fast Food"
Maruthi Davangere Benne Dosa,Yes,No,4.0/5,17,150,Dining,Banashankari,"Chinese, Thai, Momos"
Chaatimes,Yes,No,3.8/5,133,200,Dining,Banashankari,"North Indian, Mughlai, South Indian, Chinese"
Havyaka Mess,No,No,3.9/5,28,300,Dining,," """"RATED\n  Okay this review is mainly about the shaadi ka biryani (mutton). Lived the taste. We had taken a home delivery of this through zomatogold. No complaints on the service and delivery.\n\nOther than that"
McDonald's,Yes,No,3.9/5,286,500,Dining, Bannerghatta Road,South Indian
Domino's Pizza,Yes,No,3.9/5,540,800,Dining,Banashankari,"Street Food, Fast Food"
Jagdish Farshan,Yes,Yes,4.6/5,2556,600,other,Banashankari,South Indian
Hotboxit,No,No,3.8/5,36,400,Dining,Banashankari,"Burger, Fast Food"
Kitchen Garden,Yes,No,3.6/5,244,300,Dining,Banashankari,"Pizza, Fast Food"
Recipe,Yes,No,4.0/5,804,450,Dining,Banashankari,"Pizza, Cafe, Italian"
Beijing Bites,Yes,No,3.7/5,679,850,Dining,, herbed wedges\n\n#rajeshwrites')
